Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,0,0,0,1,0
0.000019680,0,0,0,0,0
0.000123840,0,0,0,1,0
0.000540480,0,0,0,0,0
0.000644640,0,0,0,1,0
0.000852960,0,0,0,0,0
0.000957280,0,0,0,1,0
0.001061440,0,0,0,0,0
0.001269920,0,0,0,1,0
0.001582400,0,0,0,0,0
0.001686560,0,0,0,1,0
0.001894880,0,0,0,0,0
0.001999040,0,0,0,1,0
0.002103200,0,0,0,0,0
0.002207360,0,0,0,1,0
0.002519840,0,0,0,0,0
0.002728320,0,0,0,1,0
0.002832320,0,0,0,0,0
0.003040800,0,0,0,1,0
0.003144800,0,0,0,0,0
0.003457440,0,0,0,1,0
0.003561440,0,0,0,0,0
0.003665760,0,0,0,1,0
0.003978080,0,0,0,0,0
0.004082400,0,0,0,1,0
0.004186560,0,0,0,0,0
0.004811520,0,0,0,1,0
0.004915520,0,0,0,0,0
0.005124000,0,0,0,1,0
0.005228160,0,0,0,0,0
0.005540800,0,0,0,1,0
0.005644800,0,0,0,0,0
0.005749120,0,0,0,1,0
0.006061440,0,0,0,0,0
0.006165600,0,0,0,1,0
0.006269760,0,0,0,0,0
0.006686560,0,0,0,1,0
0.006790560,0,0,0,0,0
0.006894880,0,0,0,1,0
0.007103040,0,0,0,0,0
0.007207360,0,0,0,1,0
0.007311360,0,0,0,0,0
0.007415680,0,0,0,1,0
0.007519840,0,0,0,0,0
0.007728160,0,0,0,1,0
0.007832320,0,0,0,0,0
0.007936480,0,0,0,1,0
0.008144800,0,0,0,0,0
0.008248960,0,0,0,1,0
0.008353120,0,0,0,0,0
0.008561600,0,0,0,1,0
0.008873920,0,0,0,0,0
0.008978240,0,0,0,1,0
0.009186560,0,0,0,0,0
0.009290720,0,0,0,1,0
0.009394880,0,0,0,0,0
0.009499040,0,0,0,1,0
0.009707360,0,0,0,0,0
0.009811520,0,0,0,1,0
0.009915680,0,0,0,0,0
0.010019840,0,0,0,1,0
0.010228160,0,0,0,0,0
0.010332480,0,0,0,1,0
0.010436480,0,0,0,0,0
0.011061600,0,0,0,1,0
0.011165760,0,0,0,0,0
0.011374080,0,0,0,1,0
0.011478240,0,0,0,0,0
0.011894880,0,0,0,1,0
0.011999040,0,0,0,0,0
0.012103200,0,0,0,1,0
0.012311520,0,0,0,0,0
0.012415680,0,0,0,1,0
0.012519840,0,0,0,0,0
0.012624160,0,0,0,1,0
0.012728160,0,0,0,0,0
0.012832480,0,0,0,1,0
0.012936480,0,0,0,0,0
0.013144960,0,0,0,1,0
0.013353280,0,0,0,0,0
0.013457440,0,0,0,1,0
0.013561600,0,0,0,0,0
0.014186560,0,0,0,1,0
0.014290720,0,0,0,0,0
0.014499200,0,0,0,1,0
0.014603200,0,0,0,0,0
0.014707520,0,0,0,1,0
0.014811520,0,0,0,0,0
0.014915840,0,0,0,1,0
0.015124160,0,0,0,0,0
0.015228320,0,0,0,1,0
0.015436640,0,0,0,0,0
0.015540800,0,0,0,1,0
0.015644960,0,0,0,0,0
0.015749280,0,0,0,1,0
0.015853280,0,0,0,0,0
0.016269920,0,0,0,1,0
